id,title,genres,averageRating,numVotes,releaseYear
tt10885444,"Khaali Peeli","Action, Comedy, Romance",2.5,10131,2020
tt0123366,"The View",Talk-Show,2.5,10064,1997
tt0299930,Gigli,"Comedy, Crime, Romance",2.6,51182,2003
tt4435072,Liger,"Action, Drama, Romance",2.6,47912,2022
tt0329200,"Home Alone 4: Taking Back the House","Comedy, Crime, Family",2.6,40059,2002
tt0118665,"Baby Geniuses","Comedy, Crime, Family",2.6,27835,1999
tt5013984,Gully,"Crime, Drama",2.6,23076,2019
tt0116839,"Lawnmower Man 2: Beyond Cyberspace","Action, Sci-Fi, Thriller",2.6,10434,1995
tt12915716,Adipurush,"Action, Adventure, Drama",2.7,134468,2023
tt2574698,Gunday,"Action, Drama, Musical",2.7,60510,2014
tt12996154,"365 Days: This Day","Drama, Romance",2.7,25271,2022
tt1883367,"The Human Centipede III (Final Sequence)","Comedy, Horror",2.7,20517,2015
tt1572311,"Tees Maar Khan","Comedy, Crime",2.7,14664,2010
tt0058548,"Santa Claus Conquers the Martians","Adventure, Comedy, Family",2.7,12768,1964
tt1127884,"Hannah Montana and Miley Cyrus: Best of Both Worlds Concert","Documentary, Music",2.7,12209,2008
tt0896036,"BloodRayne: Deliverance","Action, Fantasy, Western",2.7,11681,2007
tt1716747,"Hellraiser: Revelations",Horror,2.7,10191,2011
tt1073498,"Meet the Spartans","Comedy, Fantasy",2.8,112367,2008
tt0466342,"Date Movie","Comedy, Romance",2.8,62650,2006
tt5697572,Cats,"Comedy, Drama, Family",2.8,56703,2019
tt15334030,Martin,"Action, Drama, Thriller",2.8,34300,2024
tt9096108,Rasbhari,"Drama, Romance",2.8,15789,2019
tt4867110,Swiped,"Comedy, Romance",2.8,12865,2018
tt0110169,"It's Pat: The Movie",Comedy,2.8,10571,1994
tt13334578,Ganapath,"Action, Drama, Sci-Fi",2.8,10379,2023
tt1725047,"My Little Princess","Drama, Family, Romance",2.9,43595,2010
tt1788979,"67th Street, New York, NY","Crime, Thriller",2.9,34925,2011
tt1086761,"Keeping Up with the Kardashians","Family, Reality-TV",2.9,31716,2007
tt19623240,"Winnie-the-Pooh: Blood and Honey",Horror,2.9,31602,2023
tt9820556,Breach,"Action, Horror, Sci-Fi",2.9,20227,2020
tt21106646,"The Next 365 Days","Drama, Romance",2.9,10696,2022
tt9624766,"Jiu Jitsu","Action, Sci-Fi, Thriller",2.9,10675,2020
tt0101615,"Cool as Ice","Comedy, Drama, Music",2.9,10567,1991
tt0093300,"Jaws: The Revenge","Adventure, Horror, Thriller",3,50661,1987
tt0383222,BloodRayne,"Action, Fantasy, Horror",3,37546,2005
tt0105643,"Troll 2","Comedy, Fantasy, Horror",3,35303,1990
tt7059844,"Dabangg 3","Action, Comedy, Crime",3,20563,2019
tt0120207,Steel,"Action, Adventure, Crime",3,15285,1997
tt0118539,"3 Ninjas: High Noon at Mega Mountain","Action, Adventure, Comedy",3,12533,1998
tt0353324,"The Crow: Wicked Prayer","Action, Adventure, Comedy",3,10056,2005
tt0299981,"Highlander: The Source","Action, Adventure, Drama",3,10026,2007
tt2467046,"Left Behind","Action, Fantasy, Sci-Fi",3.1,43100,2014
tt0246894,Rollerball,"Action, Sci-Fi, Sport",3.1,29994,2002
tt0116756,Kazaam,"Comedy, Family, Fantasy",3.1,25956,1996
tt0804452,Bratz,"Comedy, Family, Music",3.1,25092,2007
tt11656172,"Hard Kill","Action, Thriller",3.1,19608,2020
tt2610768,"Celal and Ceren","Comedy, Romance",3.2,43985,2013
tt2403029,"The Starving Games","Adventure, Comedy, Sci-Fi",3.2,22893,2013
tt0462244,"Daddy Day Camp","Comedy, Family",3.2,18138,2007
tt0103923,"Captain America","Action, Adventure, Sci-Fi",3.2,15371,1990
tt0400426,"Far Cry","Action, Adventure, Sci-Fi",3.2,15139,2008
tt0499487,"Goal! III","Drama, Romance, Sport",3.2,13213,2009
tt0110647,"The NeverEnding Story III","Adventure, Comedy, Family",3.2,12622,1994
tt15281656,"The Holy Trinity",Horror,3.2,12288,2023
tt1619880,Sharktopus,"Action, Adventure, Comedy",3.2,12029,2010
tt6616074,"Amy Schumer: The Leather Special",Comedy,3.2,10676,2017
tt10886166,"365 Days","Drama, Romance",3.3,101018,2020
tt0810913,"Jack and Jill",Comedy,3.3,91734,2011
tt2724064,Sharknado,"Action, Adventure, Comedy",3.3,53789,2013
tt5690360,"Slender Man","Horror, Mystery, Thriller",3.3,39568,2018
tt7608028,"The Open House","Horror, Thriller",3.3,37676,2018
tt0065832,"Hercules in New York","Adventure, Comedy, Fantasy",3.3,19876,1970
tt5842616,"Veere Di Wedding",Comedy,3.3,13337,2018
tt1411664,"Bucky Larson: Born to Be a Star",Comedy,3.3,13015,2011
tt7851428,"First Signal","Drama, Sci-Fi",3.3,12139,2021
tt0327554,Catwoman,"Action, Crime, Fantasy",3.4,127514,2004
tt4877122,"The Emoji Movie","Adventure, Animation, Comedy",3.4,73459,2017
tt1666186,"Vampires Suck","Comedy, Horror",3.4,52340,2010
tt0329028,"Dumb and Dumberer: When Harry Met Lloyd",Comedy,3.4,42972,2003
tt0295427,"The Master of Disguise","Adventure, Comedy, Family",3.4,27709,2002
tt0110978,"Texas Chainsaw Massacre: The Next Generation","Comedy, Horror, Thriller",3.4,26746,1994
tt0295254,Feardotcom,"Crime, Horror, Thriller",3.4,23016,2002
tt6439558,"Recep Ivedik 5",Comedy,3.4,18351,2017
tt10739666,"Satyameva Jayate 2","Action, Crime, Drama",3.4,16206,2021
tt10930586,Shikara,"Drama, History, Romance",3.4,15509,2020
tt0095560,"Mac and Me","Adventure, Comedy, Family",3.4,14825,1988
tt0469111,"I'll Always Know What You Did Last Summer","Horror, Mystery, Thriller",3.4,13805,2006
tt1594972,"Norm of the North","Adventure, Animation, Comedy",3.4,10279,2016
tt0795461,"Scary Movie V","Comedy, Horror",3.5,78577,2013
tt0110857,"Police Academy: Mission to Moscow","Comedy, Crime",3.5,36689,1994
tt6990206,Crimea,"Action, Drama",3.5,33637,2017
tt0115624,"Barb Wire","Action, Sci-Fi",3.5,31704,1996
tt0372873,"Dragon Wars: D-War","Action, Drama, Fantasy",3.5,25532,2007
tt4667094,"Fifty Shades of Black",Comedy,3.5,23600,2016
tt10481868,"Black Christmas","Horror, Mystery, Thriller",3.5,19488,2019
tt3138104,"The Hungover Games","Adventure, Comedy, Fantasy",3.5,17226,2014
tt12335692,"Last Man Down","Action, Sci-Fi",3.5,14137,2021
tt0157262,"2001: A Space Travesty","Comedy, Sci-Fi",3.5,13078,2000
tt2308733,"Home Alone: The Holiday Heist","Comedy, Crime, Family",3.5,12920,2012
tt0094118,"Teen Wolf Too","Comedy, Fantasy",3.5,12673,1987
tt3053228,"Day of the Dead: Bloodline","Action, Drama, Horror",3.5,12604,2017
tt0462395,"Larry the Cable Guy: Health Inspector","Comedy, Romance",3.5,12557,2006
tt8923396,Jinn,"Drama, Fantasy, Horror",3.5,10589,2019
tt0368226,"The Room",Drama,3.6,96365,2003
tt0119707,"Mortal Kombat: Annihilation","Action, Adventure, Fantasy",3.6,58913,1997
tt8712204,Batwoman,"Action, Adventure, Crime",3.6,46849,2019
tt9196192,Cuties,Drama,3.6,32863,2020
tt0897361,"I Know Who Killed Me","Horror, Mystery, Thriller",3.6,31237,2007
